active_zone,faCoordinateX,faCoordinateY,faCoordinateZ,nearest_neighbor_distance,distance_to_presynaptic,distance_to_postsynaptic,distance_to_fusion_point
0,458.157719,284.766103,133.56775,9.687065245889348,4.835696153867201,18.57403536440122,43.22513992484054
0,488.414624,651.030236,229.837052,6.826508900640645,5.5532264678412755,19.711007647700356,53.475370605187955
0,265.54252,777.215097,162.006503,8.874074083976593,4.000379382015746,21.18528312091082,283.6528375004413
0,405.910648,713.982665,225.898063,5.9477154504391345,6.128348818968971,19.16232249291604,146.77601813049242
0,443.842199,215.098318,124.853535,10.174412344001219,5.601568656159765,19.127231249929473,72.89888892162135
0,437.23268,663.591764,176.713942,9.138127739770376,3.8723267667132903,21.471872024900346,103.07518783547762
0,454.226228,251.249925,128.656127,8.376290787929042,5.887419606324128,18.83331691950056,47.70323374611609
0,454.250398,590.165293,133.256368,9.287982786344795,5.700598480281468,20.00716289125181,28.028502023614614
0,449.831685,261.339022,119.099573,7.047424391246297,4.408688829792497,19.834637543331237,55.17859419594396
0,457.617816,308.986147,130.7327,8.870035767245628,6.2909007383367905,18.9936403990426,59.303453348870775
0,456.327619,594.784929,141.041658,7.700943297468438,5.343423840207979,21.651492207707484,29.42914451596732
0,410.8736,667.559188,153.592911,7.783787509696027,4.381643827089813,19.288358041137837,110.53198941383445
0,466.267582,496.892554,118.87301,9.646020952194442,5.568852360854482,20.853231493716752,32.11126897482131
0,461.320493,382.01638,135.687324,8.23233675865422,7.111766425965798,20.16755669684583,31.110098822216536
0,449.609066,274.96535,108.548051,5.319854460592046,7.070268865020431,18.03909740534233,65.69745190045775
0,415.819086,712.235621,235.530581,8.582121299094913,6.728169794997407,18.72841786809738,139.02385267426197
0,460.747564,511.351992,117.164734,6.472808941895989,4.822265528470394,22.910603567289236,35.15335251224716
0,489.489138,556.960336,187.61116,5.743262041221077,4.649589636908181,21.523210468024736,24.049752472844173
0,337.045229,754.057848,219.251474,6.117494697282031,9.386450483598159,21.924205553976158,223.01137317052934
0,460.871969,354.062601,141.987745,8.429089108910008,5.2943829815983126,20.92883217625431,33.973935429383104
0,438.596604,251.546402,100.214179,7.255888074273192,4.3475458630246395,20.836517307344995,77.34417934123573
0,422.425431,697.927419,213.994763,6.729557980306393,5.702308207251654,21.421641284881318,125.74933185308784
0,463.145413,389.105689,139.453321,6.754498373053431,6.6662609019850745,20.67145306869239,30.306427794665964
0,440.410246,271.623124,97.235587,8.442029314129222,4.76378285736616,21.496045537861004,78.19257380117284
0,461.529595,587.448291,141.471302,7.533709066115773,7.727874210063273,19.220185941841436,23.24332505146214
0,469.230997,642.586551,193.080865,6.872976588514866,5.571394966867272,20.2281781905121,67.92047891137535
0,351.62889,94.567554,104.931416,9.010705647364862,22.255985287133456,19.862588292753134,214.4703648852975
0,443.470692,579.280359,110.560567,16.06403879794479,5.720875286364951,26.60046471604201,40.974850493194374
0,343.049577,754.201426,214.209627,7.818351769090519,14.42231721223741,15.520682503481677,219.35258515290573
0,278.828543,779.296066,180.221859,6.4587952532727275,5.73451967988093,18.708473165196025,278.1114362259095
0,282.098675,766.801694,159.801869,11.051626328771105,7.4035672238645684,18.952736861396623,264.8207495702655
0,495.465629,569.682119,198.707188,7.854635243010363,5.922076676887788,19.281427629455933,34.89596692750945
0,454.962265,318.12777,124.984343,7.778958554330142,6.332161687781485,19.210660898883084,69.9165524590104
0,259.598383,770.853203,144.335615,6.154317977290424,4.312263380311932,25.64437912323215,282.676415545108
0,395.85362,717.397303,224.793709,9.284606478653437,4.672765856367381,21.019644661613693,155.82456585845432
0,429.585935,205.180844,83.694009,44.67330225451268,11.358580617687243,6.002361716018187,112.90838696869353
0,408.065794,715.479096,237.268148,8.582121299094913,5.58538049207741,20.78061190784775,146.1982434562155
0,459.763676,646.756954,186.662377,8.380715304495217,3.783986632844258,22.079787862242366,78.76046607586127
0,495.447756,650.925994,231.90654,7.332025143582935,10.09278824307903,15.020179437903684,52.58437995494719
0,454.173222,521.507549,103.184443,6.531491443546881,6.860283832848234,25.27153068596379,50.20177313431338
0,443.864594,690.114872,231.806702,9.171136611027563,3.4966346325969897,20.53585051816705,105.41270748261594
0,421.284577,682.040951,180.890613,8.636090645340099,6.319062129621126,18.43493114918648,124.99922399433827
0,417.916919,671.161632,153.396032,7.9135773610636235,10.448195900877488,12.917127313053996,111.32249074787532
0,317.096368,722.214407,143.430564,8.310167857806587,5.073663163409652,22.65954074928238,207.9823127312043
0,270.733966,778.079718,169.538554,9.188605623877741,4.593359194800851,20.56282196320643,281.3542358479775
0,443.426571,601.218507,122.611702,7.862791129230226,6.121613691812913,21.661216275344387,44.54027554988244
0,459.024009,389.340355,128.264826,10.677449373463888,4.46267916584159,20.296425031292625,32.540067181021776
0,459.040527,562.528233,132.510424,8.314478262990933,4.757463127469029,21.888300422142173,16.324822601843138
0,455.19739,273.409652,125.356248,6.297869797004888,4.982355412516255,18.0968306058563,48.3486802483153
0,333.42283,753.384623,211.106766,8.93931064574279,8.504421628314244,20.009244848744846,225.94744681994018
