active_zone,faCoordinateX,faCoordinateY,faCoordinateZ,nearest_neighbor_distance,distance_to_presynaptic,distance_to_postsynaptic,distance_to_fusion_point,distance_to_active_zone_center,aunp_cluster
0,272.164613,660.356442,144.269959,4.464196099028588,3.484740953039669,21.581793823341936,29.699989595409328,139.1432718006704,0
0,375.628786,530.505578,161.233208,5.932431506520617,4.620611762001004,21.24146243370007,53.84592537026463,33.28432173607206,1
0,415.633656,486.386639,152.082692,5.392030673540927,2.85090910875277,22.106774505513677,9.341662458511546,87.7329445527791,1
0,275.811932,657.834452,143.75452,4.464196099028588,3.8572137930727943,21.29018337511697,33.86800868173843,134.81559224582784,0
0,439.461681,440.151901,181.760684,7.005478156257017,8.472924139660606,19.7049479475225,25.56626989945836,143.37960836150114,1
0,383.421581,472.670428,205.516395,5.475770674140939,6.07722605212445,27.664860089367803,63.854008401684716,105.64863920899677,1
0,248.21257,657.245851,182.306763,5.160131044274948,5.670610796851039,17.713238695566666,24.608341377590893,158.3146922909975,0
0,329.428422,595.761363,147.442645,8.030107779922801,4.429420761908218,20.871309127434113,40.36044357588994,53.01838231331961,0
0,213.728937,728.614172,171.74206,8.908472876692455,8.943515839841163,20.929675232292414,71.77406714378628,229.93248276059145,4
0,400.155897,517.534854,139.945406,7.684311151905845,4.002059035009775,22.313455065421305,33.39120642791632,53.926084855992215,1
0,381.844668,525.072101,158.583759,5.550380347852303,4.373944135863718,21.869094247219223,47.97594764777384,39.07112091261409,1
0,442.432327,438.593303,174.612868,7.895900135689159,5.231801520544159,21.67258096493872,17.88806705760194,144.72293196005617,1
0,308.856457,590.129355,175.723734,7.507351691861565,3.9316848249629412,22.791567527547937,21.850808071222822,72.26904741431558,3
0,205.188185,713.78963,202.749308,6.543729205812657,15.624964025893208,18.576002750640747,87.71629403223953,230.6837536874325,4
0,419.197371,430.79756,204.57233,6.91698452916083,3.7730893078908196,26.78809651517861,53.90629605169867,149.9427295615247,1
0,419.497797,482.629484,151.920842,5.392030673540927,3.15067515437627,21.93623569951337,13.23945155445299,92.96619957658304,1
0,389.303903,523.891337,153.209844,8.014136632474482,6.397421537701355,20.323627920772285,42.41280842302205,42.2088365444344,1
0,330.126757,634.247328,98.058144,6.401010039559487,5.603936548689987,21.35518287036628,82.87244123055464,97.57070378352617,0
0,322.469637,621.81822,133.63188,9.659359684520968,6.2009371955022266,21.40539230737507,46.92321633149019,78.4116025891619,0
0,394.669409,529.568016,129.591953,6.976221100882999,3.790435351035678,22.847609716058066,48.993219822875766,44.68963381202706,1
0,318.931863,628.933935,122.926067,7.302122191937397,3.6157951196298774,23.17777325272824,56.00387074140785,88.62498029270847,0
0,301.521748,620.639877,157.41921,9.54414908858288,4.450573173069172,23.071307279502683,21.227604825173753,90.77412763226982,0
0,385.332953,515.163614,168.530152,8.01564476723318,6.782989488420627,21.11450066600325,42.08268856475713,52.17726460688934,1
0,323.870031,623.65192,123.943811,7.302122191937397,4.384242735476391,22.67482140712977,55.409609611193666,81.47302224304725,0
0,266.227814,665.993912,147.256646,7.310464455772094,4.618914586191929,19.833410209228017,23.28039279889835,147.25475407209223,0
0,407.505705,492.417172,155.313925,10.624113253480445,2.6092984300118904,22.101146160857887,9.95045401922671,78.60361014270703,1
0,399.480453,501.529987,157.731708,5.259467915696895,3.665916690739547,22.024814982682443,20.12438532973943,67.09864691099948,1
0,209.819202,707.972726,199.009761,8.32267399125511,13.20473486539508,15.37401149043324,80.21188880745508,222.6716397399648,4
0,208.435629,744.660219,164.040956,11.39912050429532,11.887594729463267,21.691963660963474,83.48907462860622,244.73557924682774,4
0,210.50983,732.243525,182.889351,7.360744152574586,15.584334563969586,18.00839514640057,81.80732775433769,236.1007166852728,4
0,514.154278,419.582909,109.787047,8.497678880888056,4.3738910112735025,22.88194997282675,37.68027743178836,206.09183105348936,1
0,438.135768,433.483542,183.449372,7.005478156257017,5.012459720601765,22.32457761640628,27.131467507466375,148.7958154295022,1
0,369.636239,551.365125,139.928382,5.998357788110335,3.406894525989,22.237166822192897,73.26481729207755,13.076446783542348,1
0,472.37423,433.133437,150.332446,7.360057200708856,6.515230663539793,19.952602012633825,28.95294037684952,164.1129198771098,1
0,380.945218,520.224574,164.127309,6.689279270459397,4.115376069604325,22.98735268146499,46.283829896081016,44.85119784830542,1
0,533.029886,399.82885,110.122651,12.047643732762763,5.005042539127448,17.984302285241814,50.67909125861225,232.90208112337623,1
0,371.419385,534.382364,162.796927,5.932431506520617,4.9985461663473165,20.946010224020608,50.87327375995337,29.879946191738227,1
0,214.442249,761.124392,131.611974,6.470165114030884,13.340079052864098,17.934820810976166,90.83887525829668,253.77254122765856,4
0,369.184564,544.453548,153.372507,6.348273850923228,4.227574657085571,20.99977479272668,59.87687262894664,16.914805678855114,1
0,225.290979,741.626622,121.205722,8.473107467279817,4.671325413974747,21.46458363017163,70.22374250421325,232.80289044121986,4
0,504.217444,415.593539,127.732922,7.406026905122174,3.9940197898100416,21.017619021164776,18.1741331910383,199.37521123622741,1
0,369.121297,554.822757,135.053968,5.180291706157156,3.4918141167400574,21.92461757511239,78.42501299531335,15.155706311713217,1
0,320.800074,564.136873,191.79753,6.118378504165686,7.513279476197617,19.697871572346667,48.34949306261272,64.739599407924,3
0,414.935316,435.622581,207.101902,6.91698452916083,5.289629199146198,25.247373784130346,57.99272513061954,145.36740457638487,1
0,436.010381,478.859985,139.45099,8.248132763096248,3.761254764271212,22.465122635645326,30.676278285678805,106.11624173949559,1
0,400.562202,526.694936,127.206987,6.976221100882999,4.568349193830682,21.897239763192633,46.21179182040979,51.16009237872085,1
0,486.531821,443.34986,121.142719,10.403152535796243,3.8207859874856767,23.460424639801886,39.13264881966268,168.29421257465455,1
0,484.748422,381.76051,194.519809,9.565504384429907,7.219727057861349,22.09437354128278,63.73599751973696,217.86527695687948,-1
