Set,Tomogram name,Alignment directory,Included AZs,Notes,Vesicles segmented?,Best residual,MTs,Actin,Fusing vesicles,Recycling receptors,Clathrin,Ribosomes,Presynaptic receptor,Flotillin,Rod in presynaptic vesicle,Tissue Quality (group rankings),Tissue Quality (CJS initial rankings; 1=intact tissue; 2=slightly dissociated tissue or unsure; 3=synaptosome-like),Initial Scoring,Etomo image rotation input (degrees),Etomo estimated image rotation (degrees),Excluded views,PT residual error mean (automated IMOD patch tracking),"PT residual error mean (manually analyzed; initial, unweighted)",PT residual cutoff,"PT residual error mean (final after editing, unweighted)",#Fids used,Erased Fiducials?,Fid residual error mean,Best alignment (patch/fiducial),Thickness estimate measured in IMOD (nm),Physical pixel size,Super-resolution?,Data pixel size,Cs,Defocus target (µm),Amplitude contrast,# of tilts (intended),# of tilts (actual),Tilt range,Image rotation (degrees),Scope,Detector,Energy filter,Movie format,Total dose (e/Å2),Dose per tilt (e/Å2),Exposure time (s),# of frames,Sample,Grid prep date,Grid name,Milling date,Milling location,Milled grid name,Lamella ID,Data collection date,Data collection location,15F1Fab-AuNP,Antagonists,Cryoprotectant conditions,Fiducials added?
15F1,20231017_HippAu_141,liza_az0,0,sta useful particles perhaps,,0.61,Other,Post,,,,Post,,Other (1),,semi-tissue,2,4,98,99,-,6.50,-,-,-,47,Y,0.61,fiducial,250.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.35,8,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-1,20231010,Janelia,EGmilled#24-1,,20231018,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231017_HippAu_144,liza_az0,0,,,0.65,Other,Post,,,,,,,,tissue,1,5,98,99,-,1.60,,,,31,Y,0.65,fiducial,170.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.35,8,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-1,20231010,Janelia,EGmilled#24-1,,20231018,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231017_HippAu_150,liza_az0,0,,,0.51,Other (NICE top view!),,,,,Other,,,,semi-tissue,1,5,98,99,-,,0.7,1.50,0.58,20,Y,0.51,fiducial,130.000,2.06,Y,1.03,0.01,-2.5,0.07,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,150.00,4.55,1.35,8,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-1,20231010,Janelia,EGmilled#24-1,,20231018,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231017_HippAu_159,liza_az0,0,,,,,,,,,,,,,tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15F1,20231026_HippAu_14,best_alignment,0,,,0.39,Pre (3); Other,,,,,,,,,tissue,2,5,-93,-96,-,4.90,2.1,4.00,1.66,26,N,0.39,fiducial,200.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,150.00,4.55,1.2,378,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-1,20231010,Janelia,EGmilled#24-1,,20231026,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231026_HippAu_26,liza_az0,0,$ FIG4,,0.63,,Post,2,,,,,,,tissue,1,5,-93,-96,-,2.00,1.2,2.00,1.09,8,Y,0.63,fiducial,180.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,150.00,4.55,1.2,378,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-1,20231010,Janelia,EGmilled#24-1,,20231026,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20231026_HippAu_30,liza_az0,0,"big chunk missing of post membrane, good for sta still for portion that's there",,0.46,,Post,,,,,,,,tissue,2,5,-93,-95,-,2.80,1.5,3.00,1.39,14,Y,0.46,fiducial,200.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,150.00,4.55,1.2,378,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231003,20231003AM#1-1,20231010,Janelia,EGmilled#24-1,,20231026,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_116,best_alignment,0,$; CAMKII in postsynaptic region? (rightish side see slice 213 in flat SIRT),,0.45,Other,Post,5,,,,,,,tissue,1,5,-96,-96,,5.50,-,-,-,11,Y,0.45,fiducial,250.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_127,best_alignment,0,"good for sta particles, only a few",,1.04,,,,,,,,,,synaptosome,3,4,-93,-96,-,2.50,1.0,2.00,0.86,11,Y,1.1,patch,150.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
15F1,20240111_WaffleHipp_128,best_alignment,0,probably good particles for sta,,0.51,Other,,,,,,,,,semi-tissue,2,4,-96,-96,-,9.60,-,-,-,62,Y,0.51,fiducial,250.000,2.296,N,2.296,2.7,-3.5,0.1,33,33,-68 to 28,-93,Krios3@Janelia,Falcon4,Thermo Scientific Selectris X,.eer,120.00,3.64,2.1,675,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20231020,20231020AM#1-2,20231121,OHSU,AMmilled#4-2,,20240111,Janelia,40 nM,1 µM ZK; 1 µM RR2b,20% dextran; 5% sucrose,yes
